date,asset,rolling_beta
2024-05-16,UNH,0.19955997985509547
2024-05-17,UNH,0.20448667532245265
2024-05-20,UNH,0.20450854440370814
2024-05-21,UNH,0.20945702531891683
2024-05-22,UNH,0.18387299625269343
2024-05-23,UNH,0.20332581431071645
2024-05-24,UNH,0.16417869762719647
2024-05-28,UNH,0.17264595539533006
2024-05-29,UNH,0.24572289828701177
2024-05-30,UNH,0.2656990886679871
2024-05-31,UNH,0.3703922619722032
2024-06-03,UNH,0.3625072604927891
2024-06-04,UNH,0.30984868588377185
2024-06-05,UNH,0.2809125043047195
2024-06-06,UNH,0.2524576539699001
2024-06-07,UNH,0.2679836317953447
2024-06-10,UNH,0.2889297515118582
2024-06-11,UNH,0.29991354859222885
2024-06-12,UNH,0.2748319072411505
2024-06-13,UNH,0.2804749904720403
2024-06-14,UNH,0.29606323932700634
2024-06-17,UNH,0.278018917467684
2024-06-18,UNH,0.25003724129681565
2024-06-20,UNH,0.23938311388827463
2024-06-21,UNH,0.24717028951030123
2024-06-24,UNH,0.22116664303067363
2024-06-25,UNH,0.19749693796602602
2024-06-26,UNH,0.21079010224908343
2024-06-27,UNH,0.21202417060691373
2024-06-28,UNH,0.13117477577404513
2024-07-01,UNH,0.10735461972780416
2024-07-02,UNH,-0.0539240364516796
2024-07-03,UNH,-0.07701857622116137
2024-07-05,UNH,-0.14740428425376895
2024-07-08,UNH,-0.1506157031912858
2024-07-09,UNH,-0.15116656978859316
2024-07-10,UNH,-0.0902560476688156
2024-07-11,UNH,-0.21472677206287144
2024-07-12,UNH,-0.13999080813295567
2024-07-15,UNH,-0.20766092921530047
2024-07-16,UNH,-0.021383371413614245
2024-07-17,UNH,-0.22376251489683072
2024-07-18,UNH,-0.08653472641714767
2024-07-19,UNH,-0.040297358386877896
2024-07-22,UNH,-0.03062745227988993
2024-07-23,UNH,0.0515183108195091
2024-07-24,UNH,0.0309082266826994
2024-07-25,UNH,0.036130920212286755
2024-07-26,UNH,0.10770183408557195
2024-07-29,UNH,0.11025085220022506
2024-07-30,UNH,0.09115687677733296
2024-07-31,UNH,-0.00824302475175293
2024-08-01,UNH,0.034752148310727635
2024-08-02,UNH,-0.16509049183464763
2024-08-05,UNH,0.14166921288316672
2024-08-06,UNH,0.12714378279001934
2024-08-07,UNH,0.13378175267380288
2024-08-08,UNH,0.10981018878969258
2024-08-09,UNH,0.09076464688505974
2024-08-12,UNH,0.08918814291847779
2024-08-13,UNH,0.12958079778268353
2024-08-14,UNH,0.1318589674575125
2024-08-15,UNH,0.10935593279019967
2024-08-16,UNH,0.11099923577727011
2024-08-19,UNH,0.1090341759097051
2024-08-20,UNH,0.10886483419927587
2024-08-21,UNH,0.10255878844939585
2024-08-22,UNH,0.09807103605886833
2024-08-23,UNH,0.09529468728604602
2024-08-26,UNH,0.1147805867566493
2024-08-27,UNH,0.11393145934806159
2024-08-28,UNH,0.05190334924933046
2024-08-29,UNH,0.03734617205087208
2024-08-30,UNH,-0.011574196891425288
2024-09-03,UNH,-0.054647320613528
2024-09-04,UNH,-0.05847846696442551
2024-09-05,UNH,-0.03408183793065158
2024-09-06,UNH,-0.03097210677432169
2024-09-09,UNH,-0.05162641561449491
2024-09-10,UNH,-0.050671231645518004
2024-09-11,UNH,-0.08009717351555996
2024-09-12,UNH,-0.0749966926141079
2024-09-13,UNH,-0.07064147906869463
2024-09-16,UNH,-0.07177860838993116
2024-09-17,UNH,-0.05352933243583688
2024-09-18,UNH,-0.04766092756275362
2024-09-19,UNH,-0.06799622917260174
2024-09-20,UNH,-0.06770104769773254
2024-09-23,UNH,-0.06111447643141148
2024-09-24,UNH,-0.05426773928825327
2024-09-25,UNH,-0.053440666638763484
2024-09-26,UNH,-0.056417153266601155
2024-09-27,UNH,-0.025692949380831935
2024-09-30,UNH,-0.01856047129730451
2024-10-01,UNH,-0.01473436601731045
2024-10-02,UNH,-0.003009240325580479
2024-10-03,UNH,0.00388052269248111
2024-10-04,UNH,-0.004064209618704916
2024-10-07,UNH,0.019785264511947363
2024-10-08,UNH,-0.011569172715738929
2024-10-09,UNH,0.008675285788334458
2024-10-10,UNH,-0.004917654507623098
2024-10-11,UNH,-0.00831065757468838
2024-10-14,UNH,-0.0489119965906476
2024-10-15,UNH,0.16607915880696345
2024-10-16,UNH,0.16149965877770542
2024-10-17,UNH,0.16629546825853778
2024-10-18,UNH,0.19062345917988965
2024-10-21,UNH,0.1863506248491599
2024-10-22,UNH,0.24420467143976227
2024-10-23,UNH,0.2587218657301254
2024-10-24,UNH,0.2289667757985354
2024-10-25,UNH,0.22667550079404467
2024-10-28,UNH,0.24815197947508005
2024-10-29,UNH,0.25905407085599214
2024-10-30,UNH,0.25131807164415776
2024-10-31,UNH,0.35657303018715597
2024-11-01,UNH,0.1888199235207948
2024-11-04,UNH,0.212363076111873
2024-11-05,UNH,0.24511891290142648
2024-11-06,UNH,0.5331798750962389
2024-11-07,UNH,0.5578480693194469
2024-11-08,UNH,0.5698914960401218
2024-11-11,UNH,0.54461681022841
2024-11-12,UNH,0.5605180861355451
2024-11-13,UNH,0.606419522810578
2024-11-14,UNH,0.6425791988520024
2024-11-15,UNH,0.6278336104311333
2024-11-18,UNH,0.6248115571715022
2024-11-19,UNH,0.6122419270154067
2024-11-20,UNH,0.6195982859373735
2024-11-21,UNH,0.600999339591487
2024-11-22,UNH,0.5992691405936106
2024-11-25,UNH,0.6140483856052088
2024-11-26,UNH,0.6228510550839809
2024-11-27,UNH,0.619158629300488
